年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,確定着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,馬体重,馬体重増減,調教師,所属,父馬名,母馬名,母の父馬名,毛色,生年月日
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ジョーカーブラウン,8,牡,3,丹内祐次,56,,2,0,4,7.3,1.47.0,5,5,3,2,先行,38.3,2,516,-2,松山将樹,美,ケープブランコ,スウィートクレメンタイン,Shamardal,鹿毛,20190219
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,オーラライト,9,牝,3,鮫島克駿,54,B,9,2,9,86,1.49.0,2,2,2,4,先行,40.4,9,460,18,西村真幸,栗,ルーラーシップ,タンザナイト,サンデーサイレンス,黒鹿,20190503
22,7,23,2,札幌,未勝利,ダ,1700,稍,曇,10,ベッサスタージル,10,牡,3,横山和生,56,B,4,0.9,1,3.1,1.47.9,3,3,3,2,先行,39.2,6,500,4,小野次郎,美,ベーカバド,フェイドレス,バブルガムフェロー,鹿毛,20190519
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ポリッシュキッス,1,牝,3,菱田裕二,54,B,2,0.7,5,15.4,1.30.1,0,5,4,5,差し,36.2,3,428,-8,高柳大輔,栗,ハービンジャー,アルメーリヒ,ネオユニヴァース,鹿毛,20190210
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,バンブリッジ,2,牝,3,池添謙一,54,,11,1.7,3,6,1.31.1,0,9,7,7,中団,37.1,9,462,6,尾関知人,美,モーリス,バンゴール,キングカメハメハ,栃栗,20190321
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ヴォンソレイユ,3,牝,3,鷲頭虎太,51,,14,4.2,13,295.3,1.33.6,0,5,9,13,後方,39.5,14,492,-4,千田輝彦,栗,ロードカナロア,フェアリーブレス,フレンチデピュティ,鹿毛,20190424
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,パンドーロ,4,牝,3,泉谷楓真,53,,3,0.9,11,173.9,1.30.3,0,5,4,5,差し,36.4,5,476,-14,奥村豊,栗,エイシンヒカリ,タイキマドレーヌ,ブライアンズタイム,黒鹿,20190419
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,モルレー,5,牝,3,鮫島克駿,54,,12,1.9,7,21.8,1.31.3,0,3,4,3,先行,37.5,11,438,6,長谷川浩,栗,ブラックタイド,レディドーヴィル,Fasliyev,鹿毛,20190223
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ミュステーリオン,6,牝,3,丹内祐次,54,,6,1.4,6,20.5,1.30.8,0,2,2,2,先行,37.3,10,456,-2,伊坂重信,美,スクリーンヒーロー,ネオザミスティック,ハーツクライ,栗毛,20190128
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,コーリングユー,7,牝,3,横山和生,54,,7,1.5,1,2.4,1.30.9,0,1,1,1,逃げ,37.5,11,438,10,安田隆行,栗,ディープインパクト,マルケサ,Kingmambo,鹿毛,20190325
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,シトラスダル,8,牝,3,秋山稔樹,53,,13,3.2,14,369.3,1.32.6,0,10,14,14,後方,37.5,11,418,-8,浅野洋一,美,ヨハネスブルグ,エアガガ,ジャングルポケット,鹿毛,20190327
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ベロア,9,牝,3,横山琉人,51,,9,1.6,8,36.8,1.31.0,0,11,12,12,後方,36.5,7,426,6,国枝栄,美,ルーラーシップ,ディープジュエリー,ディープインパクト,黒鹿,20190309
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ジャンヌノツルギ,10,牝,3,吉田隼人,54,,10,1.6,4,13.3,1.31.0,0,8,7,8,中団,37,8,446,8,小笠倫弘,美,ストロングリターン,ドゥービリーヴイン,フジキセキ,鹿毛,20190324
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,アナベル,11,牝,3,浜中俊,54,B,5,1.3,9,75.2,1.30.7,0,11,10,8,中団,36.4,5,446,12,今野貞一,栗,ドゥラメンテ,ストームツイスター,ワイルドラッシュ,青鹿,20190412
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ルージュエクレール,12,牝,3,横山武史,54,,1,-0.7,2,2.5,1.29.4,0,3,3,3,先行,35.7,1,424,6,萩原清,美,エピファネイア,マーブルケーキ,キングカメハメハ,鹿毛,20190218
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,レモンケーキ,13,牝,3,古川吉洋,54,,4,1.1,10,103.6,1.30.5,0,11,10,10,差し,36.1,2,426,-6,岡田稲男,栗,ブラックタイド,タイヨウパフューム,ジャングルポケット,黒鹿,20190331
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ビロングゴールド,14,牝,3,勝浦正樹,54,,8,1.5,12,247.5,1.30.9,0,14,13,10,中団,36.3,4,446,-18,松永康利,美,キズナ,ペガサスゴールド,Belong to Me,鹿毛,20190515
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ショウナンラブリー,1,牝,3,岩田康誠,54,,11,1.2,8,18.8,1.11.2,0,0,7,9,中団,36.4,12,412,-8,稲垣幸雄,美,ジャングルポケット,ショウナンハウメア,キングカメハメハ,鹿毛,20190502
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ゼフィアス,2,牝,3,大久保友,51,,8,1,16,418,1.11.0,0,0,12,12,後方,35.8,3,438,8,小林真也,栗,ダノンシャーク,ネイチャーガイド,エルコンドルパサー,鹿毛,20190131
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,リゾルテッツァ,3,牡,3,角田大和,54,B,5,0.9,12,59.8,1.10.9,0,0,10,9,中団,35.9,5,488,-2,角田晃一,栗,グランデッツァ,リベルタンゴ,Smart Strike,栗毛,20190305
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,マヒナライズ,4,牝,3,藤岡佑介,54,,2,0.2,1,3.5,1.10.2,0,0,3,3,先行,35.8,3,414,-4,藤岡健一,栗,ロードカナロア,アースライズ,マンハッタンカフェ,鹿毛,20190116
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,クインズプリーズ,5,牝,3,菱田裕二,54,,6,1,13,60.8,1.11.0,0,0,3,3,先行,36.6,13,438,-4,吉岡辰弥,栗,キンシャサノキセキ,ネネグース,クロフネ,鹿毛,20190225
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,キューランブラー,6,牝,3,鷲頭虎太,51,,9,1.1,6,12.8,1.11.1,0,0,12,12,後方,35.9,5,434,-8,牧田和弥,栗,ダンカーク,サウスエンピリカル,マンハッタンカフェ,鹿毛,20190307
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,スターザサンライズ,7,牝,3,横山和生,54,,4,0.5,2,4.9,1.10.5,0,0,8,7,差し,35.6,2,432,-12,安田隆行,栗,ロードカナロア,シャンパンフルート,クロフネ,芦毛,20190127
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,デルマゴモリー,8,牝,3,小林凌大,51,,12,1.3,9,33.2,1.11.3,0,0,12,15,後方,36,8,412,-8,天間昭一,美,パドトロワ,プレリュードフィズ,キングカメハメハ,黒鹿,20190412
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ベルベリス,9,牝,3,浜中俊,54,,7,1,7,13.6,1.11.0,0,0,8,7,中団,36.1,10,450,-6,高橋文雅,美,アドマイヤムーン,ルスナイクリスティ,リンドシェーバー,鹿毛,20190226
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,テンシ,10,牝,3,丹内祐次,54,,14,2.1,15,133.9,1.12.1,0,0,5,6,中団,37.5,15,420,16,杉浦宏昭,美,ワンアンドオンリー,エンゼルカロ,スターオブコジーン,黒鹿,20190225
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,モリノドリーム,11,牝,3,丸山元気,54,,1,-0.2,10,36.5,1.10.0,0,0,5,5,差し,35.4,1,466,4,大江原哲,美,モーリス,グロリエッテ,アドマイヤムーン,鹿毛,20190421
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ピースキーパー,12,牝,3,吉田隼人,54,,10,1.1,3,5.8,1.11.1,0,0,10,9,中団,36,8,436,-2,奥村豊,栗,エスケンデレヤ,ボンセジュール,ダイワメジャー,栗毛,20190328
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,デルマカミーラ,13,牝,3,横山琉人,51,,15,2.2,5,8.4,1.12.2,0,0,2,2,先行,38,16,472,-6,牧田和弥,栗,ミッキーアイル,ワンズガーホッド,マイネルラヴ,芦毛,20190519
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ナンヨーリリー,14,牝,3,斎藤新,54,,13,1.4,14,111.7,1.11.4,0,0,15,15,後方,35.9,5,410,-8,斎藤誠,美,ダイワメジャー,ラカリフォルニー,Dutch Art,栗毛,20190117
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ラファエーレ,15,牡,3,泉谷楓真,55,,16,2.2,11,58.5,1.12.2,0,0,15,14,後方,36.6,13,482,-4,大橋勇樹,栗,ダノンレジェンド,オーミバンビーナ,ブラックタイド,黒鹿,20190303
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ラミアヴィータ,16,牝,3,柴山雄一,54,B,3,0.3,4,6.7,1.10.3,0,0,1,1,逃げ,36.3,11,442,-2,昆貢,栗,マツリダゴッホ,イッツマイン,Medicean,栗毛,20190417
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,シゲルカミカゼ,1,牡,2,吉田隼人,54,,5,2,8,26.5,1.49.0,3,3,5,5,中団,39.5,4,490,,松山将樹,美,ドレフォン,ゼクト,サウスヴィグラス,黒鹿,20200402
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,サルジュターグ,2,牡,2,丸山元気,54,,11,5.4,10,38.5,1.52.4,7,5,10,9,中団,42.4,11,484,,村田一誠,美,ダンカーク,ピッパレジーナ,ゴールドアリュール,芦毛,20200308
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ノーブルヴィクター,3,牡,2,丹内祐次,54,,4,1.9,6,17.2,1.48.9,1,1,1,1,逃げ,40.2,6,456,,水野貴広,美,パイロ,マルクプレンヌ,シンボリクリスエス,栗毛,20200518
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,エコロドゥネス,4,牡,2,横山武史,54,,2,0.2,2,3.6,1.47.2,2,2,2,2,先行,38.5,2,480,,加藤征弘,美,ヘニーヒューズ,レディシャツィ,Privately Held,栗毛,20200128
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,トロルトゥンガ,5,牡,2,藤岡佑介,54,,13,8.8,13,106.8,1.55.8,12,12,13,13,後方,43.8,12,488,,菊川正達,美,アジアエクスプレス,グリシーヌシチー,ハーツクライ,鹿毛,20200423
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,コパノスタンリー,6,牝,2,角田大和,52,,10,5.1,9,34.3,1.52.1,6,5,7,9,中団,42.3,10,478,,宮徹,栗,コパノリッキー,ソフィアルージュ,クロフネ,芦毛,20200429
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,プロテア,7,牡,2,池添謙一,54,,7,3.4,4,13.1,1.50.4,11,11,8,7,中団,40.5,8,474,,手塚貴久,美,ロードカナロア,ナスケンアイリス,フレンチデピュティ,鹿毛,20200217
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ミラーオブマインド,8,牡,2,横山和生,54,,1,-0.2,3,10.9,1.47.0,5,5,4,3,先行,37.8,1,468,,新開幸一,美,マインドユアビスケッツ,エミーズスマイル,アグネスタキオン,栗毛,20200511
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,リボンピーチ,9,牝,2,鷲頭虎太,51,,8,3.7,5,16.5,1.50.7,13,13,12,11,後方,39.7,5,466,,羽月友彦,栗,インカンテーション,ワイルドローズ,メイショウオウドウ,鹿毛,20200203
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,プライムトゥーレ,10,牡,2,菱田裕二,54,,12,8.1,12,86.9,1.55.1,3,3,10,12,後方,45,13,476,,小崎憲,栗,ノヴェリスト,アルティマチャーム,キングカメハメハ,鹿毛,20200406
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ラリーレイド,11,牡,2,岩田康誠,54,,6,2.2,1,2.2,1.49.2,9,8,3,3,先行,40.4,7,478,,萩原清,美,マジェスティックウォリアー,スーブレット,ゴールドアリュール,栗毛,20200129
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,アッチャゴーラ,12,牡,2,斎藤新,54,,3,1.9,11,41.7,1.48.9,10,10,8,6,差し,39,3,478,,村山明,栗,マインドユアビスケッツ,グラッブユアコート,ゴールドアリュール,鹿毛,20200520
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,コパノサンタアナ,13,牡,2,泉谷楓真,53,,14,16.5,14,134,2.03.5,14,14,14,14,後方,46.2,14,470,,村山明,栗,コパノリッキー,コパノハート,コパノフウジン,栗毛,20200213
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,モカラエース,14,牡,2,古川吉洋,54,,9,4.2,7,21.7,1.51.2,7,9,5,7,中団,41.7,9,456,,高柳大輔,栗,ヤマカツエース,オアシスクイーン,シニスターミニスター,鹿毛,20200313
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,トレフォイル,1,牝,3,山田敬士,52,,7,1.1,10,67.4,1.51.3,3,3,3,5,中団,39.1,8,462,-2,深山雅史,美,ロードカナロア,マイネアンティーク,サクラバクシンオー,黒鹿,20190328
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ケデシュ,2,牝,3,横山武史,54,,4,0.7,1,2.8,1.50.9,3,3,3,2,先行,38.7,7,460,-18,上村洋行,栗,リオンディーズ,テーオーヴィーナス,ディープインパクト,黒鹿,20190307
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,セットリスト,3,牝,3,横山琉人,51,,13,3.6,4,6.5,1.53.8,1,1,1,2,逃げ,41.9,13,478,2,茶木太樹,栗,キタサンブラック,セットプレイ,Van Nistelrooy,黒鹿,20190215
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,テーオーノブレス,4,牝,3,大久保友,51,,14,6.3,14,216.8,1.56.5,8,8,12,14,後方,43.1,14,404,-6,岡田稲男,栗,ハービンジャー,ディリジェンテ,ステイゴールド,栗毛,20190319
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,スヴィルカーチ,5,セ,3,鷲頭虎太,53,,9,1.7,13,168.8,1.51.9,14,14,14,13,後方,37.7,2,432,-8,佐々木晶,栗,ダイワメジャー,モスコーバーニング,Moscow Ballet,黒鹿,20190217
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ブルボンティアラ,6,牝,3,丹内祐次,54,,6,1,7,21,1.51.2,11,11,11,9,中団,38,5,412,-6,伊藤伸一,美,ヴァンセンヌ,ビフォーダーク,キングカメハメハ,鹿毛,20190427
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ルテリブル,7,牡,3,秋山稔樹,55,,10,2,12,114.7,1.52.2,6,6,9,7,中団,39.1,8,462,-4,高柳瑞樹,美,ザファクター,オウシュウフリート,コロナドズクエスト,黒鹿,20190410
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,サルサロッサ,8,牝,3,鮫島克駿,54,,1,-0.5,2,6,1.50.2,5,5,5,2,先行,37.7,2,452,6,高柳瑞樹,美,エスケンデレヤ,ノバラ,マンハッタンカフェ,鹿毛,20190310
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,シャウビンダー,9,牝,3,池添謙一,54,,11,2.3,3,6.1,1.52.5,6,6,6,5,中団,39.8,12,414,2,須貝尚介,栗,クロフネ,ジルダ,ゼンノロブロイ,栗毛,20190408
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ジャグアーロ,10,牡,3,菱田裕二,56,,12,2.4,8,22.7,1.52.6,8,8,7,9,中団,39.7,11,440,0,杉山晴紀,栗,キンシャサノキセキ,レオパルディナ,スニッツェル,青鹿,20190209
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,チカレンヌ,11,牝,3,武豊,54,,2,0.5,9,27,1.50.7,13,13,13,12,追込,37,1,426,0,小崎憲,栗,Kingman,モーニングリズ,Acatenango,黒鹿,20190331
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ゴールドルパン,12,牡,3,原田和真,56,,5,0.9,11,73.5,1.51.1,11,12,9,9,中団,38,5,464,-6,堀内岳志,美,オルフェーヴル,トップオブザヘヴン,キングカメハメハ,栗毛,20190325
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ミラモンテ,13,牝,3,黛弘人,54,B,8,1.1,6,10.2,1.51.3,2,2,2,1,先行,39.3,10,450,0,岩戸孝樹,美,トーセンラー,スノークラフト,アグネスデジタル,黒鹿,20190404
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,オーロロッソ,14,牡,3,角田大和,54,,3,0.6,5,7.1,1.50.8,10,10,7,7,差し,37.8,4,402,2,野中賢二,栗,オルフェーヴル,レッドオリヴィア,ジャングルポケット,栗毛,20190330
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,セイウンハルカニ,1,牡,3,丸山元気,54,,9,1.4,5,7.8,1.00.9,0,0,3,4,先行,37.2,10,464,2,竹内正洋,美,バゴ,ニシノナースコール,ブライアンズタイム,青鹿,20190330
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,サンランシング,2,牝,4,小林凌大,52,B,3,0.2,7,49.3,0.59.7,0,0,1,1,逃げ,36.3,4,472,-10,新開幸一,美,ロージズインメイ,フィールザロマンス,ブラックタイド,青鹿,20180409
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ガレットジョーカー,3,牝,3,角田大和,50,,5,0.6,4,6.3,1.00.1,0,0,6,4,先行,36.3,4,452,10,宮徹,栗,コパノリッキー,シーズガレット,アグネスフライト,栗毛,20190403
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ユスティニアン,4,牡,4,黛弘人,57,,2,0,1,2.2,0.59.5,0,0,3,2,先行,35.9,1,422,-4,新谷功一,栗,シニスターミニスター,マイネホコモモラ,ロージズインメイ,鹿毛,20180307
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ドクターマンボウ,5,牡,3,菱田裕二,54,,8,0.9,6,12.7,1.00.4,0,0,9,8,後方,36.3,4,458,2,牧浦充徳,栗,ハーツクライ,レディシビル,Siyouni,栗毛,20190507
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ラージベル,6,牝,3,山田敬士,50,,7,0.6,8,62.2,1.00.1,0,0,3,4,先行,36.4,8,456,-12,松永康利,美,シニスターミニスター,スマートレモラ,ゴールドアリュール,鹿毛,20190415
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,サクラトップメジャ,7,牝,4,土田真翔,52,,10,1.5,9,111.3,1.01.0,0,0,9,10,後方,36.8,9,440,-4,武市康男,美,ダイワメジャー,ミメティコ,Monsun,栗毛,20180420
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,シャスティーナ,8,牝,4,鮫島克駿,55,,1,0,2,4.7,0.59.5,0,0,2,2,先行,36,2,484,6,中村直也,栗,ロードカナロア,パラダイスリッジ,ディープインパクト,鹿毛,20180224
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,タイガークリスエス,9,牡,3,武豊,54,,6,0.6,3,5.8,1.00.1,0,0,6,4,先行,36.3,4,464,-6,大橋勇樹,栗,ラブリーデイ,コフィーチャン,シンボリクリスエス,黒鹿,20190508
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,コンバットマーチ,10,牝,5,古川吉洋,55,,4,0.5,10,153.6,1.00.0,0,0,8,8,追込,36,2,468,-8,藤沢則雄,栗,Shackleford,Combat's Love,Combat Ready,芦毛,20170315
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ドグマ,1,牡,3,武豊,54,,1,-0.2,1,2,1.09.9,0,0,10,8,差し,34.7,1,474,-10,武幸四郎,栗,キタサンブラック,ショウナンカラット,ブライアンズタイム,鹿毛,20190310
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ラヴォルタ,2,牝,4,横山武史,55,,2,0.2,4,17.7,1.10.1,0,0,1,1,逃げ,36.1,5,488,-2,田村康仁,美,ロードカナロア,フロアクラフト,フジキセキ,鹿毛,20180411
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,スカイトレイル,3,牝,3,角田大和,50,B,5,0.8,5,20.2,1.10.7,0,0,3,3,先行,36.4,10,466,8,西村真幸,栗,ザファクター,アドマイヤアロング,スペシャルウィーク,鹿毛,20190429
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ニシノフウジン,4,牡,3,丸山元気,54,,11,1.7,11,47.2,1.11.6,0,0,13,12,後方,35.9,4,466,2,中野栄治,美,メイショウボーラー,ニシノマメフク,スペシャルウィーク,鹿毛,20190306
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ユキヤナギ,5,牝,3,勝浦正樹,52,,10,1.5,6,22.3,1.11.4,0,0,10,10,後方,36.2,6,442,-6,的場均,美,パドトロワ,エーピーモモ,ダンスインザダーク,鹿毛,20190221
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ナバロン,6,牡,3,菱田裕二,54,,6,1,3,8.6,1.10.9,0,0,5,5,中団,36.3,9,478,-2,杉山佳明,栗,ブラックタイド,シシャモチャン,サクラバクシンオー,鹿毛,20190425
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,デイトンウェイ,7,牡,4,小林凌大,54,,3,0.4,9,36,1.10.3,0,0,6,6,差し,35.4,2,506,-2,野中賢二,栗,リアルインパクト,ビバリーヒルズ,スニッツェル,栗毛,20180312
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ベストチャーム,8,牝,6,横山琉人,52,,9,1.3,10,46.8,1.11.2,0,0,7,8,中団,36.2,6,426,-2,松下武士,栗,ロードカナロア,レディチャーム,サンデーサイレンス,鹿毛,20160409
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,マエマエ,9,牝,3,西塚洸二,49,,13,2.5,13,130.7,1.12.4,0,0,7,6,中団,37.4,13,420,-12,久保田貴,美,キタサンブラック,ピュアエクセル,アドマイヤムーン,黒鹿,20190311
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,メイショウフンケイ,10,牡,4,柴山雄一,57,,7,1,8,35.6,1.10.9,0,0,9,10,後方,35.8,3,510,-14,池添兼雄,栗,ダイワメジャー,メイショウスズラン,キングカメハメハ,栗毛,20180328
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ロードリスペクト,11,牡,4,鮫島克駿,57,B,12,2.2,12,114.6,1.12.1,0,0,10,12,後方,36.8,12,488,0,中村直也,栗,キズナ,リュヌドサーブル,Medicean,鹿毛,20180301
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,アグリ,12,牡,3,横山和生,54,,4,0.5,2,2.9,1.10.4,0,0,2,2,先行,36.2,6,488,2,安田隆行,栗,Caravaggio,オールドタイムワルツ,War Front,青鹿,20190304
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,コスモサンレミ,13,牝,4,丹内祐次,55,,8,1.2,7,25.3,1.11.1,0,0,3,3,先行,36.7,11,458,-10,中野栄治,美,マツリダゴッホ,ドリームレディ,ロージズインメイ,鹿毛,20180526
