年,月,日,レース番号,場所,略レース名,トラック,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,確定着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,父馬名,生年月日
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,ゴールドタリスマン,10,牝,3,武藤雅,55,,5,0.7,10,90,1.00.2,0,0,6,6,中団,35.8,5,タリスマニック,20210317
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,クミンフレイバー,11,牝,3,鮫島克駿,55,,10,1.7,5,8.2,1.01.2,0,0,3,3,先行,37.2,12,スワーヴリチャード,20210321
24,7,20,2,札幌,未勝利,ダ,1000,良,晴,12,メトゥス,12,牡,3,佐々木大,57,,8,0.9,4,6.1,1.00.4,0,0,6,6,中団,36,7,ディーマジェスティ,20210519
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ハテナビト,1,牡,3,長浜鴻緒,54,B,5,1.2,7,31.9,1.48.1,6,6,6,5,中団,39.2,6,ホークビル,20210312
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ワカミヤノミコト,2,牡,3,小林勝太,54,B,9,1.9,13,257.8,1.48.8,12,13,13,11,後方,39,5,ユアーズトゥルーリ,20210516
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,エナアニマル,3,牡,3,横山和生,57,,4,0.9,5,9.7,1.47.8,12,12,10,9,差し,38.5,2,アニマルキングダム,20210406
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,メイショウソムリエ,4,牡,3,武豊,57,B,1,-0.7,2,3.6,1.46.9,3,3,3,2,先行,38.5,2,サトノダイヤモンド,20210502
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ニースライト,5,牝,3,柴田善臣,55,,8,1.8,9,80.5,1.48.7,10,10,10,10,中団,39.3,7,マクフィ,20210407
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,クラウンクーロン,6,牡,3,丹内祐次,57,,3,0.9,4,6.8,1.47.8,1,1,1,1,逃げ,39.7,8,バゴ,20210316
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,リアルペガサス,7,牡,3,菱田裕二,57,,2,0.7,6,10,1.47.6,10,10,8,7,差し,38.6,4,ダンカーク,20210221
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,スターゲット,8,牡,3,横山武史,57,,10,2.4,1,2.5,1.49.3,2,2,2,2,先行,41.1,12,ディーマジェスティ,20210321
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ポップスター,9,牡,3,武藤雅,57,,6,1.4,12,214.5,1.48.3,14,14,14,14,後方,38.1,1,シャンハイボビー,20210331
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,アオレレ,10,牡,3,佐々木大,57,,13,3.3,11,140.2,1.50.2,6,6,9,12,後方,41.1,12,ラニ,20210410
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,プラチナバンド,11,牡,3,永野猛蔵,57,,11,2.5,8,59.8,1.49.4,3,3,5,5,中団,40.9,11,ダノンバラード,20210402
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ミッキースターダム,12,牡,3,浜中俊,57,,14,3.5,3,6.8,1.50.4,3,5,3,4,先行,42,14,エピファネイア,20210212
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,クリノアイリス,13,牝,3,古川吉洋,55,,12,2.6,14,333.6,1.49.5,9,8,10,12,後方,40.2,10,ストロングリターン,20210416
24,7,20,3,札幌,未勝利,ダ,1700,良,晴,14,ナムラミック,14,牡,3,鮫島克駿,57,B,7,1.8,10,106,1.48.7,8,9,6,7,中団,39.9,9,デクラレーションオブウォー,20210407
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,アオイフォール,1,牝,3,小林凌大,55,,14,2.5,13,104.7,1.31.1,0,5,4,7,中団,37.3,14,リアルスティール,20210419
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,チャルドーニ,2,牝,3,富田暁,55,B,11,0.7,2,4.4,1.29.3,0,2,2,2,先行,35.7,11,ロゴタイプ,20210315
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,シャイニーマンボ,3,牝,3,川端海翼,52,,13,1.3,14,166.7,1.29.9,0,8,7,10,中団,35.9,12,リオンディーズ,20210406
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,カーモス,4,牝,3,長浜鴻緒,52,,2,0,11,40.4,1.28.6,0,2,2,2,先行,34.9,6,ルーラーシップ,20210227
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,アウストラリス,5,牝,3,角田大河,54,,4,0.3,8,22.8,1.28.9,0,5,4,4,先行,35.1,8,ロジャーバローズ,20210127
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,ツキガキレイデスネ,6,牝,3,永野猛蔵,55,,5,0.4,7,18.2,1.29.0,0,11,11,12,後方,34.7,4,グレーターロンドン,20210503
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,タイプフェイス,7,牝,3,大野拓弥,55,,7,0.5,10,39.3,1.29.1,0,13,11,12,後方,34.8,5,ドレフォン,20210331
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,アリーバ,8,牝,3,浜中俊,55,,1,0,4,5,1.28.6,0,10,10,4,先行,34.4,2,リアルスティール,20210312
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,カウネウス,9,牝,3,丹内祐次,55,,8,0.5,6,18.2,1.29.1,0,14,14,12,後方,34.5,3,ニューイヤーズデイ,20210217
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,ユメカウツツカ,10,牝,3,小林勝太,52,,3,0.1,9,28.2,1.28.7,0,11,13,7,差し,34.3,1,モーリス,20210211
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,セントオブシン,11,牝,3,亀田温心,55,B,9,0.6,12,53.5,1.29.2,0,8,7,7,中団,35.2,9,ドゥラメンテ,20210213
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,ウーロン,12,牝,3,横山和生,55,,12,1.2,5,8.5,1.29.8,0,1,1,1,逃げ,36.3,13,アドマイヤムーン,20210324
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,ラーリア,13,牝,3,横山武史,55,,10,0.6,3,4.8,1.29.2,0,4,4,4,先行,35.4,10,トーセンラー,20210422
24,7,20,4,札幌,未勝利・牝,芝,1500,良,晴,14,ディアアリーチェ,14,牝,3,鮫島克駿,55,,6,0.5,1,4.3,1.29.1,0,5,7,10,中団,35,7,キズナ,20210212
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ジーティートゥルー,1,牡,2,大野拓弥,55,,3,3.3,8,21.5,1.49.0,9,10,10,7,差し,39,3,ニューイヤーズデイ,20220217
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ソラノキャンバス,2,牡,2,長浜鴻緒,52,,4,3.3,10,46.3,1.49.0,11,11,10,8,差し,39,3,ニューイヤーズデイ,20220406
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ガイラルディア,3,牝,2,池添謙一,55,,14,9.8,9,36.4,1.55.5,12,13,14,14,後方,43.9,14,シニスターミニスター,20220327
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ナチュラルライズ,4,牡,2,横山武史,55,,1,-1,1,3,1.45.7,4,4,4,2,先行,36.9,1,キズナ,20220202
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,アローオブライト,5,牡,2,藤岡佑介,55,,5,3.6,7,14.4,1.49.3,14,14,12,10,中団,39.1,5,ヘニーヒューズ,20220223
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,モレポブラーノ,6,牡,2,鮫島克駿,55,,6,3.8,5,9.2,1.49.5,2,2,2,3,先行,41,7,マインドユアビスケッツ,20220421
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ヴァカンツァ,7,牝,2,角田大河,54,,8,4.6,12,66.7,1.50.3,9,8,5,5,中団,41.3,8,ルヴァンスレーヴ,20220322
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ガストフロント,8,牡,2,武藤雅,55,,13,7.7,11,51.3,1.53.4,4,6,9,13,後方,43.5,13,ロジャーバローズ,20220324
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ハヤテノツバサ,9,牡,2,永野猛蔵,55,,7,4.2,6,11.6,1.49.9,7,6,7,6,中団,40.6,6,マジェスティックウォリアー,20220501
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,ベルベルコンパス,10,牡,2,北村友一,55,,2,1,3,5.3,1.46.7,1,1,1,1,逃げ,38.3,2,ヘニーヒューズ,20220128
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,プライベートアイズ,11,牡,2,横山和生,55,,10,5.2,4,7.4,1.50.9,6,4,5,8,中団,41.8,10,マジェスティックウォリアー,20220423
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,コパノキュラソー,12,牡,2,古川吉洋,55,,11,5.3,14,136.6,1.51.0,8,8,8,10,中団,41.4,9,シャンハイボビー,20220326
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,イフウドウドウ,13,牡,2,武豊,55,,9,4.8,2,5.3,1.50.5,2,2,2,4,先行,41.9,11,ルヴァンスレーヴ,20220305
24,7,20,5,札幌,新馬,ダ,1700,良,晴,14,キタノチャンス,14,牝,2,黛弘人,55,,12,6.9,13,133,1.52.6,13,12,12,12,後方,42.4,12,マクフィ,20220330
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,マイネルバーテクス,1,牡,3,丹内祐次,57,,2,0.3,2,4.9,1.49.0,7,7,6,7,差し,35.2,3,エピファネイア,20210428
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,モズイージス,2,牡,3,岩田康誠,57,,4,0.6,4,10.1,1.49.3,4,5,6,7,差し,35.6,4,サンダースノー,20210401
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,グローリアミノル,3,牡,3,大野拓弥,57,,9,1,3,6.8,1.49.7,11,9,4,2,先行,36.1,8,ブリックスアンドモルタル,20210227
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,ライムストリート,4,牡,3,古川吉洋,57,,12,2.1,14,312.1,1.50.8,11,12,14,14,後方,36.4,11,エイシンフラッシュ,20210403
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,サトノアライヴ,5,牡,3,佐々木大,57,,3,0.4,9,32.6,1.49.1,13,14,10,7,差し,35.1,1,ブリックスアンドモルタル,20210218
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,テイクノーティス,6,牡,3,横山和生,57,,6,0.8,5,10.4,1.49.5,13,12,6,5,中団,35.8,5,ハービンジャー,20210315
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,キングブルー,7,牡,3,菱田裕二,57,,8,0.9,8,21,1.49.6,6,5,6,7,中団,35.8,5,ロードカナロア,20210428
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,グランドフューチャ,8,牡,3,小林勝太,54,,11,1.9,12,152.9,1.50.6,7,7,10,11,後方,36.6,12,エピファネイア,20210212
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,マリエッティ,9,牝,3,川端海翼,52,,5,0.7,7,14.1,1.49.4,4,3,2,1,先行,36.1,8,スワーヴリチャード,20210426
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,アイビーブリッツ,10,牡,3,角田大河,56,,10,1.3,6,10.9,1.50.0,9,9,10,11,後方,35.9,7,カレンブラックヒル,20210225
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,クリノタンザナイト,11,牡,3,亀田温心,57,,14,2.8,13,244.8,1.51.5,10,9,10,13,後方,37.5,13,カレンブラックヒル,20210424
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,オメガインペリアル,12,牡,3,藤岡佑介,57,,1,-0.3,1,2.3,1.48.7,2,3,4,5,差し,35.1,1,Kingman,20210329
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,ダンツタロン,13,牡,3,柴田善臣,57,,13,2.7,11,143.7,1.51.4,1,1,1,2,逃げ,38.1,14,カリフォルニアクローム,20210317
24,7,20,6,札幌,未勝利,芝,1800,良,晴,14,ゴールデンスロープ,14,牡,3,長浜鴻緒,54,,7,0.8,10,59.2,1.49.5,2,2,2,2,先行,36.2,10,ゴールドシップ,20210528
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,サンポーニャ,1,牝,4,長浜鴻緒,53,,8,0.6,2,4.5,1.09.3,0,0,5,6,中団,35.2,6,モーリス,20200426
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,ゴルデールスカー,2,牡,4,池添謙一,58,,6,0.5,11,104.4,1.09.2,0,0,11,9,後方,34.6,1,モーリス,20200309
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,バシレウスシチー,3,牡,5,菱田裕二,58,,1,-0.1,4,5.2,1.08.7,0,0,5,4,先行,34.6,1,ビッグアーサー,20190429
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,ソングフォーユー,4,牝,5,大野拓弥,56,,3,0.3,6,17.4,1.09.0,0,0,3,4,先行,35.2,6,キタサンブラック,20190126
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,ペプチドシュチク,5,牡,3,富田暁,55,B,9,0.6,5,9.1,1.09.3,0,0,2,2,先行,35.6,10,ブリックスアンドモルタル,20210203
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,シアター,6,牝,3,鮫島克駿,53,,5,0.4,1,3.5,1.09.1,0,0,7,6,中団,34.8,4,リアルスティール,20210221
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,セイウンサニー,7,牝,3,永野猛蔵,53,B,7,0.5,7,18.4,1.09.2,0,0,7,6,中団,34.9,5,リーチザクラウン,20210402
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,ハレアカラフラ,8,牝,4,武豊,56,,2,0.1,3,4.8,1.08.8,0,0,1,1,逃げ,35.3,9,ラブリーデイ,20200302
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,セイウンティーダ,9,牝,3,丹内祐次,53,,11,0.9,9,22.8,1.09.6,0,0,7,9,後方,35.2,6,グレーターロンドン,20210329
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,アポロルタ,10,牝,5,小林勝太,53,,4,0.4,10,29.2,1.09.1,0,0,10,11,追込,34.6,1,アポロキングダム,20190226
24,7,20,7,札幌,１勝ｸﾗｽ,芝,1200,良,晴,11,シルバーダイヤ,11,牝,4,角田大河,55,,10,0.7,8,21.3,1.09.4,0,0,3,2,先行,35.6,10,シルバーステート,20200227
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,ポマール,1,牝,3,丹内祐次,53,,8,3.7,8,39.6,1.50.2,1,1,2,7,逃げ,42.8,8,エピファネイア,20210119
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,タマモプルメリア,2,牝,3,角田大河,52,,4,1.3,1,2.6,1.47.8,2,2,1,2,逃げ,40.5,4,カリフォルニアクローム,20210304
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,アイスリンディ,3,牝,3,亀田温心,53,,9,5.2,5,17.7,1.51.7,4,4,8,9,後方,43.6,9,カリフォルニアクローム,20210210
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,シュライフェ,4,牝,4,黛弘人,56,,7,3.2,9,87.9,1.49.7,7,7,9,8,後方,41.3,7,リーチザクラウン,20200309
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,ドレミファニー,5,牝,4,横山和生,56,,5,1.8,6,18.8,1.48.3,7,7,4,2,ﾏｸﾘ,40.8,6,ドレフォン,20200519
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,イッツオンリーユー,6,牝,4,佐々木大,56,,3,0.4,2,3.5,1.46.9,4,4,4,4,先行,39.4,3,ハーツクライ,20200406
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,フェルンマンボ,7,牝,5,横山武史,56,B,2,0.3,3,3.7,1.46.8,6,6,6,5,差し,39,1,ヘニーヒューズ,20190308
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,リフレクトザムーン,8,牝,3,小林勝太,50,,1,-0.3,4,6.8,1.46.5,2,3,2,1,先行,39.1,2,ルーラーシップ,20210221
24,7,20,8,札幌,１勝ｸﾗｽ・牝,ダ,1700,良,晴,9,チョッピー,9,牝,5,永野猛蔵,56,,6,1.9,7,28.8,1.48.4,9,9,7,6,中団,40.5,4,ブラックタイド,20190514
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,バロックダンス,1,牝,4,大野拓弥,56,,6,0.8,9,81.2,1.48.2,5,7,8,8,後方,35.5,4,モーリス,20200227
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,マイバラード,2,牡,4,丹内祐次,58,,4,0.5,7,22.4,1.47.9,8,8,8,6,差し,35.2,2,ダノンバラード,20200510
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,ヴァルドルチャ,3,牡,3,北村友一,55,,8,1.5,5,7.8,1.48.9,5,5,8,9,後方,36.2,8,スワーヴリチャード,20210307
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,ブルーアイドガール,4,牝,3,藤岡佑介,53,,10,12.8,2,3.5,2.00.2,2,3,5,10,後方,47.7,10,キタサンブラック,20210428
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,ミヤビブレイブ,5,牝,4,横山和生,56,,1,-0.2,6,17.1,1.47.4,10,10,1,1,ﾏｸﾘ,35.4,3,ハービンジャー,20200428
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,アドミラルシップ,6,牡,3,武豊,55,,3,0.3,1,2.7,1.47.7,2,2,2,2,先行,35.6,5,ゴールドシップ,20210424
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,ユイノオトコヤマ,7,牡,4,黛弘人,58,,7,0.9,10,138.2,1.48.3,9,8,5,3,ﾏｸﾘ,35.8,6,メイショウサムソン,20200423
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,セイウンパシュート,8,牡,4,永野猛蔵,58,,2,0.2,3,5,1.47.6,5,5,5,6,差し,35.1,1,ハーツクライ,20200328
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,スノーブリザード,9,牡,3,鮫島克駿,55,,5,0.8,8,49,1.48.2,1,1,3,3,逃げ,36,7,ゴールドアクター,20210317
24,7,20,9,札幌,北辰特別･1勝,芝,1800,良,晴,10,シルバーカレッジ,10,牡,3,浜中俊,55,B,9,1.5,4,7.6,1.48.9,4,3,3,3,先行,36.6,9,エピファネイア,20210220
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,リミットバスター,1,牡,4,横山武史,58,B,6,0.3,3,4.4,1.59.9,4,5,5,4,先行,35.7,7,ハーツクライ,20200317
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,マイノワール,2,牡,3,武豊,55,,7,0.4,1,3.1,2.00.0,11,11,10,8,中団,35.3,5,マインドユアビスケッツ,20210411
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,ナックイルシーブ,3,牡,6,大野拓弥,58,B,1,0,6,18.2,1.59.6,6,5,5,4,先行,35.4,6,ハーツクライ,20180201
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,バンフィエルド,4,牡,5,佐々木大,58,,11,1.7,12,73.3,2.01.3,6,7,7,11,後方,36.9,11,オルフェーヴル,20190225
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,スプリングノヴァ,5,牝,3,亀田温心,53,B,12,2,9,60.7,2.01.6,4,3,4,6,中団,37.6,12,カリフォルニアクローム,20210401
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,アナレンマ,6,セ,6,菱田裕二,58,B,13,2,10,63.3,2.01.6,1,1,1,1,逃げ,38.8,13,ディープインパクト,20180319
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,ホウオウプレミア,7,牡,5,岩田康誠,58,B,8,0.4,5,9.5,2.00.0,2,2,2,2,先行,36.1,9,ロードカナロア,20190122
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,タイラーテソーロ,8,牡,5,丹内祐次,58,B,9,0.6,13,102.9,2.00.2,12,13,13,13,後方,35,2,ゴールドシップ,20190218
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,ブラックヴァール,9,牝,4,横山和生,56,B,2,0,4,5.4,1.59.6,3,3,2,3,先行,35.7,7,ジャングルポケット,20200316
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,シャドウソニック,10,牡,4,北村友一,58,,5,0.3,8,51.2,1.59.9,13,12,12,11,後方,35,2,エピファネイア,20200430
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,キングロコマイカイ,11,牡,5,角田大河,58,B,10,1,11,63.4,2.00.6,9,8,7,8,中団,36.1,9,キングカメハメハ,20190415
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,ギャンブルルーム,12,牡,3,鮫島克駿,55,,3,0.1,2,4.3,1.59.7,8,8,7,7,差し,35.2,4,キズナ,20210208
24,7,20,10,札幌,釧路湿原･2勝,芝,2000,良,晴,13,ドラゴンヘッド,13,牡,4,武藤雅,58,,4,0.1,7,22.3,1.59.7,10,10,11,10,追込,34.9,1,ラブリーデイ,20200317
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,ブッシュガーデン,1,牝,5,富田暁,56,,3,0.1,7,10.9,1.08.4,0,0,1,1,逃げ,34.5,15,リオンディーズ,20190306
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,プライムライン,2,セ,7,北村友一,58,B,14,0.6,14,83.6,1.08.9,0,0,10,11,後方,34.1,11,ハーツクライ,20170312
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,トーセンサンダー,3,牡,5,大野拓弥,58,,5,0.2,4,8.2,1.08.5,0,0,6,7,中団,34,9,トーセンファントム,20190317
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,アバンチュリエ,4,セ,5,柴田善臣,58,,11,0.4,11,36.3,1.08.7,0,0,16,14,後方,33.5,1,モーリス,20190120
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,ドーバーホーク,5,牡,4,横山武史,58,,15,0.6,2,5,1.08.9,0,0,13,14,後方,33.8,4,ディーマジェスティ,20200330
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,ジャスティンエース,6,牡,5,菱田裕二,58,B,16,1.2,15,94.9,1.09.5,0,0,2,2,先行,35.5,16,ルーラーシップ,20190204
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,タツリュウオー,7,牝,6,古川吉洋,56,,12,0.5,16,123.1,1.08.8,0,0,10,11,後方,33.9,6,エイシンヒカリ,20180414
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,オウバイトウリ,8,牝,3,浜中俊,53,,10,0.4,3,6.8,1.08.7,0,0,13,13,後方,33.6,3,リアルスティール,20210325
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,ドナベティ,9,牝,3,鮫島克駿,53,,8,0.3,6,9.6,1.08.6,0,0,13,14,後方,33.5,1,リアルスティール,20210310
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,アドヴァイス,10,牝,5,岩田康誠,56,B,7,0.3,9,17,1.08.6,0,0,3,4,先行,34.4,14,モーリス,20190506
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,オードゥメール,11,牝,5,藤岡佑介,56,,6,0.2,5,9.2,1.08.5,0,0,8,9,中団,33.8,4,ルーラーシップ,20190412
24,7,20,11,札幌,ＴＶｈ賞･3勝,芝,1200,良,晴,16,サトノグレイト,12,セ,4,池添謙一,58,,9,0.3,12,49.3,1.08.6,0,0,5,4,先行,34.3,12,ダイワメジャー,20200221
