年,月,日,レース番号,場所,略レース名,芝・ダ,距離,馬場状態,天候,頭数,馬名,馬番,性別,年齢,騎手,斤量,ブリンカー,着順,着差タイム,人気,単勝オッズ,走破タイム,通過順1角,通過順2角,通過順3角,通過順4角,脚質,上がり3Fタイム,上がり3F順位,父馬名,生年月日
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,コーリングユー,7,牝,3,横山和生,54,,7,1.5,1,2.4,1.30.9,0,1,1,1,逃げ,37.5,11,ディープインパクト,20190325
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,シトラスダル,8,牝,3,秋山稔樹,53,,13,3.2,14,369.3,1.32.6,0,10,14,14,後方,37.5,11,ヨハネスブルグ,20190327
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ベロア,9,牝,3,横山琉人,51,,9,1.6,8,36.8,1.31.0,0,11,12,12,後方,36.5,7,ルーラーシップ,20190309
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ジャンヌノツルギ,10,牝,3,吉田隼人,54,,10,1.6,4,13.3,1.31.0,0,8,7,8,中団,37,8,ストロングリターン,20190324
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,アナベル,11,牝,3,浜中俊,54,B,5,1.3,9,75.2,1.30.7,0,11,10,8,中団,36.4,5,ドゥラメンテ,20190412
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ルージュエクレール,12,牝,3,横山武史,54,,1,-0.7,2,2.5,1.29.4,0,3,3,3,先行,35.7,1,エピファネイア,20190218
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,レモンケーキ,13,牝,3,古川吉洋,54,,4,1.1,10,103.6,1.30.5,0,11,10,10,差し,36.1,2,ブラックタイド,20190331
22,7,23,3,札幌,未勝利・牝,芝,1500,稍,曇,14,ビロングゴールド,14,牝,3,勝浦正樹,54,,8,1.5,12,247.5,1.30.9,0,14,13,10,中団,36.3,4,キズナ,20190515
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ショウナンラブリー,1,牝,3,岩田康誠,54,,11,1.2,8,18.8,1.11.2,0,0,7,9,中団,36.4,12,ジャングルポケット,20190502
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ゼフィアス,2,牝,3,大久保友,51,,8,1,16,418,1.11.0,0,0,12,12,後方,35.8,3,ダノンシャーク,20190131
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,リゾルテッツァ,3,牡,3,角田大和,54,B,5,0.9,12,59.8,1.10.9,0,0,10,9,中団,35.9,5,グランデッツァ,20190305
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,マヒナライズ,4,牝,3,藤岡佑介,54,,2,0.2,1,3.5,1.10.2,0,0,3,3,先行,35.8,3,ロードカナロア,20190116
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,クインズプリーズ,5,牝,3,菱田裕二,54,,6,1,13,60.8,1.11.0,0,0,3,3,先行,36.6,13,キンシャサノキセキ,20190225
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,キューランブラー,6,牝,3,鷲頭虎太,51,,9,1.1,6,12.8,1.11.1,0,0,12,12,後方,35.9,5,ダンカーク,20190307
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,スターザサンライズ,7,牝,3,横山和生,54,,4,0.5,2,4.9,1.10.5,0,0,8,7,差し,35.6,2,ロードカナロア,20190127
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,デルマゴモリー,8,牝,3,小林凌大,51,,12,1.3,9,33.2,1.11.3,0,0,12,15,後方,36,8,パドトロワ,20190412
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ベルベリス,9,牝,3,浜中俊,54,,7,1,7,13.6,1.11.0,0,0,8,7,中団,36.1,10,アドマイヤムーン,20190226
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,テンシ,10,牝,3,丹内祐次,54,,14,2.1,15,133.9,1.12.1,0,0,5,6,中団,37.5,15,ワンアンドオンリー,20190225
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,モリノドリーム,11,牝,3,丸山元気,54,,1,-0.2,10,36.5,1.10.0,0,0,5,5,差し,35.4,1,モーリス,20190421
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ピースキーパー,12,牝,3,吉田隼人,54,,10,1.1,3,5.8,1.11.1,0,0,10,9,中団,36,8,エスケンデレヤ,20190328
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,デルマカミーラ,13,牝,3,横山琉人,51,,15,2.2,5,8.4,1.12.2,0,0,2,2,先行,38,16,ミッキーアイル,20190519
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ナンヨーリリー,14,牝,3,斎藤新,54,,13,1.4,14,111.7,1.11.4,0,0,15,15,後方,35.9,5,ダイワメジャー,20190117
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ラファエーレ,15,牡,3,泉谷楓真,55,,16,2.2,11,58.5,1.12.2,0,0,15,14,後方,36.6,13,ダノンレジェンド,20190303
22,7,23,4,札幌,未勝利,芝,1200,稍,曇,16,ラミアヴィータ,16,牝,3,柴山雄一,54,B,3,0.3,4,6.7,1.10.3,0,0,1,1,逃げ,36.3,11,マツリダゴッホ,20190417
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,シゲルカミカゼ,1,牡,2,吉田隼人,54,,5,2,8,26.5,1.49.0,3,3,5,5,中団,39.5,4,ドレフォン,20200402
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,サルジュターグ,2,牡,2,丸山元気,54,,11,5.4,10,38.5,1.52.4,7,5,10,9,中団,42.4,11,ダンカーク,20200308
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ノーブルヴィクター,3,牡,2,丹内祐次,54,,4,1.9,6,17.2,1.48.9,1,1,1,1,逃げ,40.2,6,パイロ,20200518
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,エコロドゥネス,4,牡,2,横山武史,54,,2,0.2,2,3.6,1.47.2,2,2,2,2,先行,38.5,2,ヘニーヒューズ,20200128
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,トロルトゥンガ,5,牡,2,藤岡佑介,54,,13,8.8,13,106.8,1.55.8,12,12,13,13,後方,43.8,12,アジアエクスプレス,20200423
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,コパノスタンリー,6,牝,2,角田大和,52,,10,5.1,9,34.3,1.52.1,6,5,7,9,中団,42.3,10,コパノリッキー,20200429
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,プロテア,7,牡,2,池添謙一,54,,7,3.4,4,13.1,1.50.4,11,11,8,7,中団,40.5,8,ロードカナロア,20200217
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ミラーオブマインド,8,牡,2,横山和生,54,,1,-0.2,3,10.9,1.47.0,5,5,4,3,先行,37.8,1,マインドユアビスケッツ,20200511
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,リボンピーチ,9,牝,2,鷲頭虎太,51,,8,3.7,5,16.5,1.50.7,13,13,12,11,後方,39.7,5,インカンテーション,20200203
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,プライムトゥーレ,10,牡,2,菱田裕二,54,,12,8.1,12,86.9,1.55.1,3,3,10,12,後方,45,13,ノヴェリスト,20200406
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,ラリーレイド,11,牡,2,岩田康誠,54,,6,2.2,1,2.2,1.49.2,9,8,3,3,先行,40.4,7,マジェスティックウォリアー,20200129
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,アッチャゴーラ,12,牡,2,斎藤新,54,,3,1.9,11,41.7,1.48.9,10,10,8,6,差し,39,3,マインドユアビスケッツ,20200520
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,コパノサンタアナ,13,牡,2,泉谷楓真,53,,14,16.5,14,134,2.03.5,14,14,14,14,後方,46.2,14,コパノリッキー,20200213
22,7,23,5,札幌,新馬,ダ,1700,稍,曇,14,モカラエース,14,牡,2,古川吉洋,54,,9,4.2,7,21.7,1.51.2,7,9,5,7,中団,41.7,9,ヤマカツエース,20200313
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,トレフォイル,1,牝,3,山田敬士,52,,7,1.1,10,67.4,1.51.3,3,3,3,5,中団,39.1,8,ロードカナロア,20190328
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ケデシュ,2,牝,3,横山武史,54,,4,0.7,1,2.8,1.50.9,3,3,3,2,先行,38.7,7,リオンディーズ,20190307
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,セットリスト,3,牝,3,横山琉人,51,,13,3.6,4,6.5,1.53.8,1,1,1,2,逃げ,41.9,13,キタサンブラック,20190215
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,テーオーノブレス,4,牝,3,大久保友,51,,14,6.3,14,216.8,1.56.5,8,8,12,14,後方,43.1,14,ハービンジャー,20190319
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,スヴィルカーチ,5,セ,3,鷲頭虎太,53,,9,1.7,13,168.8,1.51.9,14,14,14,13,後方,37.7,2,ダイワメジャー,20190217
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ブルボンティアラ,6,牝,3,丹内祐次,54,,6,1,7,21,1.51.2,11,11,11,9,中団,38,5,ヴァンセンヌ,20190427
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ルテリブル,7,牡,3,秋山稔樹,55,,10,2,12,114.7,1.52.2,6,6,9,7,中団,39.1,8,ザファクター,20190410
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,サルサロッサ,8,牝,3,鮫島克駿,54,,1,-0.5,2,6,1.50.2,5,5,5,2,先行,37.7,2,エスケンデレヤ,20190310
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,シャウビンダー,9,牝,3,池添謙一,54,,11,2.3,3,6.1,1.52.5,6,6,6,5,中団,39.8,12,クロフネ,20190408
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ジャグアーロ,10,牡,3,菱田裕二,56,,12,2.4,8,22.7,1.52.6,8,8,7,9,中団,39.7,11,キンシャサノキセキ,20190209
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,チカレンヌ,11,牝,3,武豊,54,,2,0.5,9,27,1.50.7,13,13,13,12,追込,37,1,Kingman,20190331
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ゴールドルパン,12,牡,3,原田和真,56,,5,0.9,11,73.5,1.51.1,11,12,9,9,中団,38,5,オルフェーヴル,20190325
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,ミラモンテ,13,牝,3,黛弘人,54,B,8,1.1,6,10.2,1.51.3,2,2,2,1,先行,39.3,10,トーセンラー,20190404
22,7,23,6,札幌,未勝利,芝,1800,稍,曇,14,オーロロッソ,14,牡,3,角田大和,54,,3,0.6,5,7.1,1.50.8,10,10,7,7,差し,37.8,4,オルフェーヴル,20190330
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,セイウンハルカニ,1,牡,3,丸山元気,54,,9,1.4,5,7.8,1.00.9,0,0,3,4,先行,37.2,10,バゴ,20190330
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,サンランシング,2,牝,4,小林凌大,52,B,3,0.2,7,49.3,0.59.7,0,0,1,1,逃げ,36.3,4,ロージズインメイ,20180409
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ガレットジョーカー,3,牝,3,角田大和,50,,5,0.6,4,6.3,1.00.1,0,0,6,4,先行,36.3,4,コパノリッキー,20190403
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ユスティニアン,4,牡,4,黛弘人,57,,2,0,1,2.2,0.59.5,0,0,3,2,先行,35.9,1,シニスターミニスター,20180307
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ドクターマンボウ,5,牡,3,菱田裕二,54,,8,0.9,6,12.7,1.00.4,0,0,9,8,後方,36.3,4,ハーツクライ,20190507
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,ラージベル,6,牝,3,山田敬士,50,,7,0.6,8,62.2,1.00.1,0,0,3,4,先行,36.4,8,シニスターミニスター,20190415
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,サクラトップメジャ,7,牝,4,土田真翔,52,,10,1.5,9,111.3,1.01.0,0,0,9,10,後方,36.8,9,ダイワメジャー,20180420
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,シャスティーナ,8,牝,4,鮫島克駿,55,,1,0,2,4.7,0.59.5,0,0,2,2,先行,36,2,ロードカナロア,20180224
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,タイガークリスエス,9,牡,3,武豊,54,,6,0.6,3,5.8,1.00.1,0,0,6,4,先行,36.3,4,ラブリーデイ,20190508
22,7,23,7,札幌,１勝ｸﾗｽ,ダ,1000,稍,曇,10,コンバットマーチ,10,牝,5,古川吉洋,55,,4,0.5,10,153.6,1.00.0,0,0,8,8,追込,36,2,Shackleford,20170315
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ドグマ,1,牡,3,武豊,54,,1,-0.2,1,2,1.09.9,0,0,10,8,差し,34.7,1,キタサンブラック,20190310
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ラヴォルタ,2,牝,4,横山武史,55,,2,0.2,4,17.7,1.10.1,0,0,1,1,逃げ,36.1,5,ロードカナロア,20180411
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,スカイトレイル,3,牝,3,角田大和,50,B,5,0.8,5,20.2,1.10.7,0,0,3,3,先行,36.4,10,ザファクター,20190429
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ニシノフウジン,4,牡,3,丸山元気,54,,11,1.7,11,47.2,1.11.6,0,0,13,12,後方,35.9,4,メイショウボーラー,20190306
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ユキヤナギ,5,牝,3,勝浦正樹,52,,10,1.5,6,22.3,1.11.4,0,0,10,10,後方,36.2,6,パドトロワ,20190221
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ナバロン,6,牡,3,菱田裕二,54,,6,1,3,8.6,1.10.9,0,0,5,5,中団,36.3,9,ブラックタイド,20190425
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,デイトンウェイ,7,牡,4,小林凌大,54,,3,0.4,9,36,1.10.3,0,0,6,6,差し,35.4,2,リアルインパクト,20180312
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ベストチャーム,8,牝,6,横山琉人,52,,9,1.3,10,46.8,1.11.2,0,0,7,8,中団,36.2,6,ロードカナロア,20160409
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,マエマエ,9,牝,3,西塚洸二,49,,13,2.5,13,130.7,1.12.4,0,0,7,6,中団,37.4,13,キタサンブラック,20190311
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,メイショウフンケイ,10,牡,4,柴山雄一,57,,7,1,8,35.6,1.10.9,0,0,9,10,後方,35.8,3,ダイワメジャー,20180328
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,ロードリスペクト,11,牡,4,鮫島克駿,57,B,12,2.2,12,114.6,1.12.1,0,0,10,12,後方,36.8,12,キズナ,20180301
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,アグリ,12,牡,3,横山和生,54,,4,0.5,2,2.9,1.10.4,0,0,2,2,先行,36.2,6,Caravaggio,20190304
22,7,23,8,札幌,１勝ｸﾗｽ,芝,1200,稍,曇,13,コスモサンレミ,13,牝,4,丹内祐次,55,,8,1.2,7,25.3,1.11.1,0,0,3,3,先行,36.7,11,マツリダゴッホ,20180526
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,ジャスティンカツミ,1,牡,3,吉田隼人,54,,7,0.7,3,4.5,2.05.3,1,1,1,2,逃げ,35.8,7,ドゥラメンテ,20190305
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,デルマアシュラ,2,牡,4,武豊,57,,6,0.4,2,4.4,2.05.0,3,3,3,5,中団,35.2,5,ディープインパクト,20180218
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,クールブリエ,3,牝,4,角田大和,55,,5,0.3,6,11.5,2.04.9,5,3,3,5,中団,35.1,4,メイショウサムソン,20180418
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,テーオーサンドニ,4,牡,3,鮫島克駿,54,,3,0.2,4,4.7,2.04.8,2,2,2,1,先行,35.2,5,キタサンブラック,20190508
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,トラウンシュタイン,5,牡,4,斎藤新,57,B,2,0.2,8,114.3,2.04.8,8,8,3,2,ﾏｸﾘ,35,3,オルフェーヴル,20180209
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,サトノヴィーナス,6,牝,5,藤岡佑介,55,,8,1,7,26.9,2.05.6,3,3,3,7,後方,35.9,8,ロードカナロア,20170412
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,アケルナルスター,7,牡,3,丹内祐次,54,,1,-0.2,1,3,2.04.6,7,6,3,4,先行,34.8,1,トーセンラー,20190416
22,7,23,9,札幌,利尻特別･1勝,芝,2000,稍,曇,8,タイミングハート,8,牡,5,浜中俊,57,,4,0.2,5,7.7,2.04.8,6,6,8,8,追込,34.8,1,ディープインパクト,20170304
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,ロードオブザチェコ,1,牡,4,柴山雄一,57,,5,0.9,6,12.9,1.46.8,1,1,1,1,逃げ,39.3,7,ストロングリターン,20180421
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,モズマゾク,2,牡,4,武豊,57,B,2,0.2,4,6.1,1.46.1,7,7,5,3,先行,38.1,1,グランプリボス,20180304
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,マイネルレンカ,3,牡,8,丹内祐次,57,,4,0.8,9,41.1,1.46.7,5,4,7,7,差し,38.3,3,スマートファルコン,20140515
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,パルデンス,4,牡,4,鮫島克駿,57,,0,----,,,0.00.0,0,0,0,0,,,0,ディープブリランテ,20180420
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,インウィクトス,5,牡,5,原田和真,57,,7,1.7,10,167.1,1.47.6,9,9,9,9,後方,38.8,5,ワールドエース,20170416
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,ゲンパチミーティア,6,セ,4,吉田隼人,57,,0,----,8,28.6,0.00.0,0,0,0,0,,,0,ロードカナロア,20180312
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,モズピンポン,7,牡,5,横山武史,57,,1,-0.2,1,3,1.45.9,2,2,2,2,先行,38.3,3,グランプリボス,20170504
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,アメリカンエール,8,牡,4,菱田裕二,57,B,3,0.7,2,4.6,1.46.6,8,8,8,7,差し,38.1,1,Tapit,20180407
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,ロンドンデリーエア,9,牡,5,藤岡佑介,57,,6,1,5,8.2,1.46.9,3,3,3,3,先行,39.2,6,タートルボウル,20170310
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,グリニッジシチー,10,セ,6,横山琉人,57,B,9,1.8,7,14.5,1.47.7,4,4,4,5,中団,39.8,9,エスポワールシチー,20160330
22,7,23,10,札幌,大倉山特･2勝,ダ,1700,稍,曇,11,ロスコフ,11,牡,4,横山和生,57,,8,1.8,3,4.6,1.47.7,6,6,5,5,中団,39.7,8,オルフェーヴル,20180206
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ナイントゥファイブ,1,牝,5,吉田隼人,55,,3,0.2,6,13.4,1.10.1,0,0,2,2,先行,35.3,7,スクリーンヒーロー,20170131
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,シュアーヴアリア,2,牝,4,勝浦正樹,55,B,4,0.3,3,6.4,1.10.2,0,0,11,10,差し,34.9,2,ゴールドシップ,20180401
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ダークペイジ,3,牝,3,横山武史,52,,2,0.2,1,2.2,1.10.1,0,0,6,5,差し,35.1,6,Dark Angel,20190308
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,フォイアーロート,4,牡,4,岩田康誠,57,,6,0.4,9,34.8,1.10.3,0,0,6,5,中団,35.3,7,リオンディーズ,20180205
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,コスモアンジュ,5,牝,5,丹内祐次,55,,14,0.8,2,5.9,1.10.7,0,0,6,8,中団,35.7,13,トゥザワールド,20170517
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,スンリ,6,牝,4,鮫島克駿,55,B,10,0.6,7,14.2,1.10.5,0,0,2,2,先行,35.7,13,キズナ,20180202
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ユキノファラオ,7,牡,4,武豊,57,,7,0.4,5,13,1.10.3,0,0,13,13,後方,34.9,2,ワールドエース,20180325
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,トミケンボハテル,8,牡,8,秋山稔樹,57,,15,1.6,15,307.1,1.11.5,0,0,15,15,後方,34.9,2,アドマイヤムーン,20140415
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ヤマニンペダラーダ,9,牡,8,柴山雄一,57,,13,0.8,14,177.1,1.10.7,0,0,14,14,後方,34.8,1,ディープインパクト,20140406
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,バトーデュシエル,10,牝,5,横山和生,55,B,5,0.4,8,16.8,1.10.3,0,0,11,10,中団,35,5,ロードカナロア,20170123
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,マリーナ,11,牝,4,藤岡佑介,55,,8,0.5,4,9.8,1.10.4,0,0,5,5,中団,35.5,10,キズナ,20180413
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ディモールト,12,牡,5,浜中俊,57,B,12,0.8,10,50.4,1.10.7,0,0,6,10,中団,35.6,11,ヘニーヒューズ,20170402
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ショウナンアリアナ,13,牝,6,古川吉洋,55,,11,0.7,13,91.2,1.10.6,0,0,6,8,中団,35.6,11,Frankel,20160226
22,7,23,11,札幌,しらかば･3勝,芝,1200,稍,曇,15,ネクストストーリー,14,牝,4,菱田裕二,55,,9,0.6,12,77.5,1.10.5,0,0,2,4,先行,35.7,13,ジョーカプチーノ,20180405
